site_visit_date,location,county,algae_observed,comments,lat,lon,algae_type,microcystin,other_toxin,pic_URL,toxin_present
2019/01/02 13:38:59+00,Waters Edge Cir N Fort Myers,Lee,No,,26.70914,-81.7723,-,-,-,,
2019/01/02 17:55:00+00,Gator Lake at Six Mile Cypress Slough,Lee,Yes,"fish kill, green algae present with clumping at surface",26.572699,-81.824975,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 13:47:00+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, streaks on surface, wind driven accumulation",26.7211,-81.69275,Dominant taxon: Microcystis aeruginosa,5.48,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 14:19:59+00,Davis Boat Ramp,Lee,Yes,"Algae visible surface/water column, streaks on surface, wind driven accumulation",26.7115,-81.75314,Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii,2.35,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 20:29:59+00,Lake Clay at boat ramp,Highlands,Yes,"windswept, rust orange algae",27.30329,-81.353621,Dominant taxon: Botryococcus braunii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/10 19:30:00+00,Harbor Isle - Southern most lobe,Pinellas,Yes,Reported to be ongoing bloom,27.83676,-82.6139597443858,Dominant taxon: Microcystis aeruginosa,28.2,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 13:51:59+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, wind driven accumulation, oily sheen along shore",26.72111,-81.69275,Dominant taxon: Microcystis sp.,1.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 14:19:59+00,Davis Boat ramp,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.71154,-81.75307,Dominant taxon: Microcystis aeruginosa,7.84,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 15:04:59+00,Lake Anne at 343 Lake Annie Drive,Orange,Yes,,28.68822,-81.54644,Dominant taxon: Mycrocystis aeruginosa,15.1,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/18 13:53:00+00,Daisy Canal Cape Coral,Lee,No,,26.57609,-82.01467,-,-,-,,
2019/01/22 14:13:59+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.72108,-81.69276,Dominant taxon: Microcystis sp.,0.39 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/22 14:58:00+00,Davis Boat Ramp,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.71152,-81.75304,Dominant taxon: Microcystis aeruginosa,1.2,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/24 17:00:00+00,Spring Lake Naples,Collier,Yes,Lake management company treated lake with dye making water appear green.,26.13845,-81.79868,-,-,-,,
2019/02/04 14:30:04+00,Davis Boat Ramp,Lee,Yes,"visible surface/water column - somewhat patchy, some decaying clumps",26.7115580862714,-81.7530887854458,Dominant taxon: Microcystis sp.,1.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/04 14:03:20+00,Franklin Locks Upstream,Lee,Yes,"visible surface/water column, streaks on surface, accumulation along shore/locks",26.7211375949861,-81.6927313785025,Dominant taxon: Microcystis sp.,0.73 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/29 20:15:56+00,Parkshore Marina Moorings Bay,Collier,Yes,Collier County staff collected sample to be analyzed by FWC/FWRI,26.198136,-81.811526,Dominant taxon: Anabaena sp.,not collected,not collected,,
2019/02/04 18:59:59+00,North River Shores Ramp,Martin,No,,27.2174231705794,-80.2758267769287,-,-,-,,
2019/01/07 14:26:59+00,IRL Near Titusville Marina,Brevard,Yes,,28.6241595260237,-80.8061667762834,Dominant taxon: Raphidophyceae,not analyzed,not analyzed,,
2019/01/31 18:00:00+00,1769 N. Central Ave,Flagler,Yes,,29.5002490176142,-81.1395151793516,Dominant taxon: Spirogyra sp.,not collected,not collected,,
2019/02/08 15:00:00+00,Lake Theresa,Volusia,No,Volusia County EPD visited the lake this morning and did not observe a bloom. The County described what appeared to be pollen along the shoreline. Otherwise the water was very clear.,28.89858,-81.19368,-,-,-,,
2019/02/11 18:35:00+00,Moorings Bay,Collier,Yes,mild streaking/clumping @ surface,26.1977443,-81.8090564,Dominant taxon: Dolichospermum circinale,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/05 16:15:00+00,Center of Lake Weir,Marion,Yes,,29.01748,-81.93846,Dominant taxon: Botryococcus braunii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/02/12 13:31:21+00,Alva Boat Ramp,Lee,Yes,"Small specks visible surface/water column, no accumulation along shore",26.7138186093399,-81.6060261352382,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/02/18 16:05:00+00,Harbor Isle - NW Lobe,Pinellas,Yes,Follow-up from sample collection in January,27.8398296114249,-82.6170252144608,Dominant taxon: Microcystis aeruginosa,138.37,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/18 21:01:59+00,Lake Buffum,Polk,No,No bloom present at time of site visit - pollen noticed along shoreline,27.7976581416734,-81.6643250750374,-,-,-,,
2019/02/19 13:35:13+00,Alva Boat Ramp,Lee,Yes,"Small specks visible surface/water column, no accumulation along shore",26.7138096134142,-81.6060221921095,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/19 13:57:59+00,Franklin Locks Upstream,Lee,Yes,"Small specks visible surface/water column, some accumulation along shore",26.7211082956561,-81.6927373591295,Dominant taxon: Microcystis aeruginosa,0.40 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/27 16:40:00+00,Harbor Isle - Center of system,Pinellas,Yes,,27.8380300341241,-82.6138193397922,Co-dominant taxa were: Microcystis aeruginosa and Aphanizomenon sp.,9.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/26 16:31:00+00,Fellsmere Water Mgmt Area 1,IndianRiver,Yes,,27.795670976633,-80.7045457930699,Dominant taxon: Microcystis aeruginosa,2.74,Anatoxin-a: not detected,Cylindrospermopsin: 0.05,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/03/12 12:53:00+00,Franklin Locks Upstream,Lee,Yes,"Sparse specks visible surface/water column, some wind driven accumulation along shore",26.72109,-81.69307,Dominant taxon: Microcystis aeruginosa,0.72 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/12 13:20:00+00,Davis Boat Ramp,Lee,Yes,"BG visible surface/water column, some streaks on surface and wind driven accumulation",26.7115247273142,-81.7530382470567,Co-dominant taxa were: Microcystis aeruginosa and Chlamydomonas sp.,1.36,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/11 14:55:00+00,Fellsmere Water Mgmt Area 1,IndianRiver,Yes,,27.7956831435169,-80.7045243173884,Dominant taxon: Microcystis aeruginosa,3.88,Anatoxin-a: not detected,Cylindrospermopsin: 0.12,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/03/05 13:44:59+00,Franklin Locks,Lee,Yes,,26.7211912546799,-81.69221898409,mixed algae,no dominant species in sample,0.36 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/03/05 13:22:59+00,Alva Boat Ramp,Lee,Yes,,26.7137904425207,-81.6060293785278,Dominant taxon: Microcystis aeruginosa,0.72 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/21 12:29:00+00,Alva Boat Ramp,Lee,Yes,"Specks visible surface/water column, no accumulation along shore",26.7137367608311,-81.6061746568158,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/21 12:51:00+00,Franklin Locks Upstream,Lee,Yes,"Specks visible surface/water column, wind driven accumulation along shore",26.721042239587,-81.6929831544861,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/03/21 13:25:00+00,Davis Boat Ramp,Lee,Yes,"Specks visible surface/water column, streaks on surface, wind driven accumulation",26.7115472465094,-81.7531705985955,Dominant taxon: Microcystis aeruginosa,19.91,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/26 12:27:59+00,Alva Boat Ramp,Lee,Yes,,26.7137960703227,-81.6059427784183,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/03/26 13:20:00+00,Davis Boat Ramp,Lee,Yes,,26.7115897149316,-81.7531591060235,Dominant taxon: Microcystis aeruginosa,0.52 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/03/25 15:56:02+00,Fellsmere Water Mgmt Area 1,IndianRiver,Yes,,27.795669,-80.704539,Dominant taxon: Microcystis aeruginosa,1.32,Anatoxin-a: not detected,Cylindrospermopsin: 0.37,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/04/03 16:40:00+00,Clewiston Ramp,Hendry,Yes,,26.76145,-80.9194,Co-dominant taxa were: Microcystis aeruginosa and Dolichospermum circinale,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/03 19:20:00+00,Pahokee Dock,PalmBeach,Yes,,26.82551,-80.66697,Dominant taxon: Microcystis aeruginosa,2.31,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/02 12:42:27+00,Alva Boat Ramp,Lee,Yes,,26.71394,-81.60612,Dominant taxon: Microcystis sp.,0.77 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/02 13:11:15+00,Franklin Locks,Lee,Yes,,26.72101,-81.69341,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/08 15:49:59+00,Lake Pierce - Center of lake,Polk,Yes,Water extremely turbid with a secchi of 0.2 meters.,27.97122247,-81.51983013,Co-dominant taxa were: Planktolyngbya limnetica and Cylindrospermopsis raciborskii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/08 14:25:00+00,Caloosahatchee River,Hendry,Yes,Specks of green algae throughout water column. No obvious slick or scum layer.,26.7688127552246,-81.4440500725625,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/08 16:15:00+00,Lake Pot,Seminole,Yes,,28.6541646657138,-81.3577784935801,Co-dominant taxa were: Coelosphaerium dubium and Anabaena sp.,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/09 17:48:59+00,Lake Estelle,Orange,Yes,"Water very clear; bloom appears to be filamentous, epiphytic on Vallisneria. Rain event (.6"" on 4/5/2019)",28.5741,-81.366,Dominant taxon: Oedogonium sp.,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/09 12:30:00+00,Alva Boat Ramp,Lee,Yes,,26.7137713810957,-81.6060305343592,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/11 15:56:59+00,Parkshore Marina Moorings Bay,Collier,Yes,,26.198136,-81.811526,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/10 17:10:00+00,LSJR @ End of Moonlite Dr,Putnam,Yes,,29.4925211399137,-81.6807069171421,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/11 13:40:00+00,St. Johns River Channel Marker 13,Putnam,Yes,,29.59646,-81.60803,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.15,Saxitoxin/Paralytic Shellfish Toxins: 0.65
2019/04/11 13:50:00+00,"St. Johns River, Brown's Landing",Putnam,Yes,,29.59757,-81.6468,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.13,Saxitoxin/Paralytic Shellfish Toxins: 0.80
2019/04/16 12:36:00+00,Alva Boat Ramp,Lee,Yes,,26.7137784600013,-81.6060401340882,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/16 12:56:59+00,Franklin Locks Upstream,Lee,Yes,,26.7217683636729,-81.6921754993605,Dominant taxon: Microcystis sp.,0.29 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/16 13:25:00+00,Davis Boat Ramp,Lee,Yes,,26.7115759715415,-81.7531993866031,Dominant taxon: Microcystis sp.,9.36,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/16 13:57:59+00,Lake Rianhard,Osceola,Yes,"Algae bloom visible close up, within the water column.  No surface scum.",28.3164,-81.54117,Co-dominant taxa were: Microcystis aeruginosa and Dolichospermum circinale,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/16 17:29:59+00,Background 1,Okeechobee,Yes,,27.193754527472,-80.8307945100632,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/16 18:14:59+00,Background 2,Okeechobee,Yes,,27.1435509811644,-80.7649461336759,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/18 13:44:59+00,Guana River 0.6 mile N. of Six Mile Boat Ramp,StJohns,Yes,,30.11649331,-81.35137144,Dominant taxon: Microspora sp.,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/04/18 12:20:00+00,SJRCC,Putnam,Yes,,29.7001042832562,-81.636763578442,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.27,Saxitoxin/Paralytic Shellfish Toxins: 1.0
2019/04/18 14:15:00+00,LEO,Volusia,Yes,,29.3095,-81.6069722222222,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.17,Saxitoxin/Paralytic Shellfish Toxins: 1.3
2019/04/18 15:00:00+00,CM72 near Georgetown (20030373),Putnam,Yes,,29.3786666666667,-81.6288333333333,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.25,Saxitoxin/Paralytic Shellfish Toxins: 1.9
2019/04/18 15:14:59+00,CM65,Putnam,Yes,,29.4203055555556,-81.6532777777778,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.30,Saxitoxin/Paralytic Shellfish Toxins: 1.8
2019/04/18 16:54:59+00,BB22,Putnam,Yes,,29.5960277777778,-81.6784166666667,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.30,Saxitoxin/Paralytic Shellfish Toxins: 1.0
2019/04/18 17:28:00+00,SJP,Putnam,Yes,,29.6443611111111,-81.6259444444444,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.19,Saxitoxin/Paralytic Shellfish Toxins: 0.8
2019/04/22 14:00:00+00,LEO,Volusia,Yes,,29.3095,-81.6069722222222,Dominant taxon: Aphanizomenon flos-aquae,0.25,Anatoxin-a: not detected,Cylindrospermopsin: 0.27,Saxitoxin/Paralytic Shellfish Toxins: 1.0
2019/04/22 14:15:00+00,CM72 near Georgetown (20030373),Putnam,Yes,,29.3786666666667,-81.6288333333333,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.9
2019/04/22 14:29:00+00,CM65,Putnam,Yes,,29.4203055555556,-81.6532777777778,Dominant taxon: Aphanizomenon flos-aquae,0.15 J (J qualifier indicates an estimated value),Anatoxin-a: not detected,Cylindrospermopsin: 0.37,Saxitoxin/Paralytic Shellfish Toxins: 1.1
2019/04/22 15:04:59+00,WELAKA,Putnam,Yes,,29.4892222222222,-81.6816944444444,Dominant taxon: Aphanizomenon flos-aquae,0.19 J (J qualifier indicates an estimated value),Anatoxin-a: not detected,Cylindrospermopsin: 0.34,Saxitoxin/Paralytic Shellfish Toxins: 0.8
2019/04/22 15:24:59+00,BB22,Putnam,Yes,,29.5960277777778,-81.6784166666667,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.31,Saxitoxin/Paralytic Shellfish Toxins: 0.9
2019/04/22 15:35:00+00,CM15,Putnam,Yes,,29.5912222222222,-81.622,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.28,Saxitoxin/Paralytic Shellfish Toxins: 0.7
2019/04/22 15:49:59+00,POWERLINES,Putnam,Yes,,29.6285833333333,-81.5936944444444,Dominant taxon: Aphanizomenon flos-aquae,0.21,Anatoxin-a: not detected,Cylindrospermopsin: 0.26,Saxitoxin/Paralytic Shellfish Toxins: 0.5
2019/04/22 12:45:00+00,Palatka City Dock,Putnam,Yes,,29.6436444444444,-81.6307666666667,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.24,Saxitoxin/Paralytic Shellfish Toxins: 0.5
2019/04/22 15:59:59+00,SJP,Putnam,Yes,,29.6443611111111,-81.6259444444444,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.26,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/22 16:09:59+00,SJRCC,Putnam,Yes,,29.7000833333333,-81.6366944444444,Dominant taxon: Aphanizomenon flos-aquae,0.17 J (J qualifier indicates an estimated value),Anatoxin-a: not detected,Cylindrospermopsin: 0.23,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/22 16:30:00+00,SRP,StJohns,Yes,,29.80169,-81.55453,Dominant taxon: Aphanizomenon flos-aquae,0.16 J (J qualifier indicates an estimated value),Anatoxin-a: not detected,Cylindrospermopsin: 0.23,Saxitoxin/Paralytic Shellfish Toxins: 0.7
2019/04/23 18:14:59+00,Julington Creek at Mandarin Park,Duval,No,"not visible algae, but 9.5mg and 116%oxygen",30.1322586134711,-81.6352755994975,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/22 15:30:59+00,LMR Airboat Jump,IndianRiver,Yes,,27.6995555555556,-80.6764166666667,Dominant taxon: Dolichospermum circinale,0.33,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/04/22 17:03:00+00,Fellsmere Water Mgmt Area 1,IndianRiver,Yes,,27.7956666666667,-80.7045277777778,Dominant taxon: Microcystis sp.,2.54,Anatoxin-a: not detected,Cylindrospermopsin: 2.00,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/04/23 14:15:00+00,Arlington River at Carlton Oaks,Duval,Yes,"light dusting of blue green algae, station",30.316685062559,-81.6032638879166,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/22 13:20:00+00,S77- Upstream,Glades,Yes,BGA visible on the surface of the water upstream and downstream of the platform. Small bright green particulates on waters surface. Gates open at S77,26.8406717805442,-81.0835124553005,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/23 12:46:59+00,S308C- Lakeside,Martin,No,No visible bloom,26.9849720690651,-80.621288465411,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/04/24 16:15:00+00,Davis Boat Ramp,Lee,Yes,Algae found throughout water column,26.7114700838257,-81.7530057023,Dominant taxon: Microcystis aeruginosa,0.36 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
2019/04/24 15:40:00+00,LEO,Volusia,Yes,,29.3095,-81.6069722222222,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: 0.22,Saxitoxin/Paralytic Shellfish Toxins: 0.9
2019/04/24 17:10:59+00,CM72 near Georgetown (20030373),Putnam,Yes,,29.3786666666667,-81.6288333333333,Dominant taxon: Aphanizomenon flos-aquae,0.17,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.50,Saxitoxin/Paralytic Shellfish Toxins: 0.9
2019/04/24 17:19:59+00,CM65,Putnam,Yes,,29.4203055555556,-81.6532777777778,Dominant taxon: Aphanizomenon flos-aquae,0.21,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.42,Saxitoxin/Paralytic Shellfish Toxins: 1.1
2019/04/24 17:47:00+00,WELAKA,Putnam,Yes,,29.4892222222222,-81.6816944444444,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.26,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/24 14:39:59+00,BB22,Putnam,Yes,,29.5960277777778,-81.6784166666667,Dominant taxon: Aphanizomenon flos-aquae,0.19,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.35,Saxitoxin/Paralytic Shellfish Toxins: 0.8
2019/04/24 18:14:00+00,CM15,Putnam,Yes,,29.5912222222222,-81.622,Dominant taxon: Aphanizomenon flos-aquae,0.21,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.43,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/24 18:20:59+00,POWERLINES,Putnam,Yes,,29.6285833333333,-81.5936944444444,Dominant taxon: Aphanizomenon flos-aquae,0.19,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.27,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/24 14:10:00+00,Palatka City Dock,Putnam,Yes,,29.6436444444444,-81.6307666666667,Dominant taxon: Aphanizomenon flos-aquae,0.17,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.22,Saxitoxin/Paralytic Shellfish Toxins: 0.5
2019/04/24 18:40:00+00,SJP,Putnam,Yes,,29.6443611111111,-81.6259444444444,Dominant taxon: Aphanizomenon flos-aquae,0.15,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.5
2019/04/24 18:49:00+00,SJRCC,Putnam,Yes,,29.7000833333333,-81.6366944444444,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.36,Saxitoxin/Paralytic Shellfish Toxins: 0.4
2019/04/24 19:05:59+00,SRP,StJohns,Yes,,29.80169,-81.55453,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.29,Saxitoxin/Paralytic Shellfish Toxins: 0.7
2019/04/24 16:12:00+00,LAKE GEORGE WEST SHORE,Volusia,Yes,,29.2798333333333,-81.6201111111111,Dominant taxon: Aphanizomenon flos-aquae,0.19,Anatoxin-a: not detected,Cylindrospermopsin: 0.17,Saxitoxin/Paralytic Shellfish Toxins: 0.7
2019/04/24 16:40:00+00,NORTHWEST COVE LAKE GEORGE,Volusia,Yes,,29.3076944444444,-81.6578611111111,Dominant taxon: Aphanizomenon flos-aquae,0.27,Anatoxin-a: not detected,Cylindrospermopsin: 0.26,Saxitoxin/Paralytic Shellfish Toxins: 1.0
2019/04/24 17:41:00+00,WELAKA BOAT RAMP,Putnam,Yes,,29.4786111111111,-81.6748722222222,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not analyzed,Cylindrospermopsin: 0.28,Saxitoxin/Paralytic Shellfish Toxins: 0.6
2019/04/25 14:39:59+00,Lake Dora,Lake,Yes,"Filamentous, periphytic algae on submerged vegetation leaf blades.  No typical HAB bloom observed.",28.8003,-81.7278,Dominant taxon: Oedogonium sp.,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin: not detected
